Kraj,CisloObce,PoradiKand,KandJmeno,KandVek,Hlasy,Procenta,Okres,Kandidatka,Okrsek,URL
1,529303,1,Vondrášek Josef Ing.,58,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,2,Milata Zdeněk Mgr.,28,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,3,Fialová Jiřina,58,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,4,Kudrna Luboš MVDr.,47,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,5,Hubený Pavel,54,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,6,Nekovářová Zuzana,45,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,7,Hajleková Zdeňka Ing.,49,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,8,Jetenský Pavel Ing.,55,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,9,Svoboda Jiří RSDr.,56,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,10,Cinka Ivan Mgr.,51,13,30.95,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,11,Peška Ladislav RNDr.,50,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,12,Horváthová Hana,54,1,2.38,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,13,Krško Jan Mgr.,36,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,14,Vojtová Hana Mgr.,42,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,15,Štefek Zdeněk Ing.,33,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,16,Klán Jan Bc.,25,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,17,Krejčová Marie,50,3,7.14,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,18,Hofmann Ondřej,23,1,2.38,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,19,Košnar Vladislav JUDr.,55,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,20,Klasová Jana RSDr.,62,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,21,Slavíček Josef,57,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,22,Janík Jaromír,50,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,23,Dovolil Josef Ing.,51,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,24,Žalud Ladislav Ing.,67,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,25,Kostková Martina Mgr.,29,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,26,Humlová Jiřina Mgr.,50,2,4.76,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,27,Sarauer Miloš,27,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,28,Grospičová Alena,51,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,29,Klement Josef,28,2,4.76,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,30,Hájková Alžběta,47,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,31,Šedivá Hana,30,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,32,Hlaváček Josef,41,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,33,Škorpík Martin Ing.,46,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,34,Václavů Jindřiška JUDr.,52,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,35,Zima Vladislav Ing.,52,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
1,529303,36,Skála Karel,66,0,0.00,2101,1,1,http://volby.cz/pls/kz2008/kz351?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303&xokrsek=1&xstrana=1
