Kraj,Okres,Hlasy,Procenta,KandidatkaNazev,KandidatkaCislo,URL
1,2101,3791,11.63,Komunistická str.Čech a Moravy,1,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,323,0.99,STŘEDOČEŠI,5,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,3661,11.23,"""Nezáv.starostové pro kraj""",9,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,705,2.16,Strana zelených,18,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,82,0.25,Národní strana,27,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,249,0.76,Nejen hasiči a živn.pro kraj,28,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,256,0.78,Strana zdravého rozumu,32,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,1933,5.93,Koalice pro Středočeský kraj,35,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,98,0.30,SDŽ-Strana důstojného života,37,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,257,0.78,Volte Pr.Blok-www.cibulka.net,42,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,8505,26.10,Občanská demokratická strana,47,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,12265,37.65,Česká str.sociálně demokrat.,48,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,397,1.21,Děln.str.-zrušení popl.ve zdr.,53,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2101,54,0.16,Konzervativní koalice,54,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2102,4729,16.87,Komunistická str.Čech a Moravy,1,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,390,1.39,STŘEDOČEŠI,5,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,1203,4.29,"""Nezáv.starostové pro kraj""",9,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,737,2.63,Strana zelených,18,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,98,0.34,Národní strana,27,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,184,0.65,Nejen hasiči a živn.pro kraj,28,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,256,0.91,Strana zdravého rozumu,32,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,658,2.34,Koalice pro Středočeský kraj,35,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,83,0.29,SDŽ-Strana důstojného života,37,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,266,0.94,Volte Pr.Blok-www.cibulka.net,42,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,8878,31.68,Občanská demokratická strana,47,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,10144,36.20,Česká str.sociálně demokrat.,48,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,334,1.19,Děln.str.-zrušení popl.ve zdr.,53,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2102,62,0.22,Konzervativní koalice,54,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2103,7909,16.30,Komunistická str.Čech a Moravy,1,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2103
1,2103,552,1.13,STŘEDOČEŠI,5,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2103
1,2103,1732,3.57,"""Nezáv.starostové pro kraj""",9,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2103
1,2103,1114,2.29,Strana zelených,18,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2103
1,2103,197,0.40,Národní strana,27,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2103
1,2103,211,0.43,Nejen hasiči a živn.pro kraj,28,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2103
1,2103,242,0.49,Strana zdravého rozumu,32,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2103
1,2103,869,1.79,Koalice pro Středočeský kraj,35,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2103
