Kraj,Hlasy,Procenta,KandidatkaNazev,KandidatkaCislo,URL
1,54594,13.75,Komunistická str.Čech a Moravy,1,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,6511,1.64,STŘEDOČEŠI,5,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,22767,5.73,"""Nezáv.starostové pro kraj""",9,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,11926,3.00,Strana zelených,18,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,1628,0.41,Národní strana,27,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,2444,0.61,Nejen hasiči a živn.pro kraj,28,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,3264,0.82,Strana zdravého rozumu,32,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,13671,3.44,Koalice pro Středočeský kraj,35,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,1726,0.43,SDŽ-Strana důstojného života,37,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,3530,0.88,Volte Pr.Blok-www.cibulka.net,42,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,130242,32.81,Občanská demokratická strana,47,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,139564,35.16,Česká str.sociálně demokrat.,48,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,4070,1.02,Děln.str.-zrušení popl.ve zdr.,53,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
1,936,0.23,Konzervativní koalice,54,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1
2,32484,15.94,Komunistická str.Čech a Moravy,1,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,10024,4.92,SNK Evropští demokraté,3,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,14170,6.95,Křesť.demokr.unie-Čs.str.lid.,12,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,6940,3.40,Strana zelených,18,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,422,0.20,Moravané,19,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,1040,0.51,Dohoda pro změnu,21,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,2996,1.47,Doktoři (za uzdravení společ.),25,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,440,0.21,Sdruž.pro rep.-Republ.str.Čsl.,33,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,1983,0.97,SDŽ-Strana důstojného života,37,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,1506,0.73,Volte Pr.Blok-www.cibulka.net,42,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,60349,29.63,Občanská demokratická strana,47,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,68856,33.80,Česká str.sociálně demokrat.,48,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
2,2454,1.20,Děln.str.-zrušení popl.ve zdr.,53,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2
3,31369,17.53,Komunistická str.Čech a Moravy,1,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3
3,490,0.27,Zelení,6,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3
3,6826,3.81,Strana zelených,18,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3
3,2639,1.47,Děln.str.-NE americkému radaru,20,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3
