Kraj,Okres,Volici,Vydane,Ucast,Odevzdane,Platne,PlatneProc,URL
1,2101,75260,32904,43.72,32879,32576,99.08,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2101
1,2102,65124,28223,43.34,28207,28022,99.34,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2102
1,2103,126666,50819,40.12,50515,48498,96.01,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2103
1,2104,75989,31824,41.88,31645,29784,94.12,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2104
1,2105,59954,25998,43.36,25979,25816,99.37,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2105
1,2106,79475,30672,38.59,30651,30463,99.39,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2106
1,2107,93353,41104,44.03,41088,40840,99.40,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2107
1,2108,71930,29017,40.34,28961,28283,97.66,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2108
1,2109,102430,43851,42.81,43803,43413,99.11,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2109
1,2110,83576,36270,43.40,36170,35499,98.14,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2110
1,2111,90904,38986,42.89,38740,36590,94.45,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2111
1,2112,43330,18224,42.06,18033,17089,94.77,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xnumnuts=2112
2,3101,149093,64185,43.05,64162,63680,99.25,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2&xnumnuts=3101
2,3102,47859,17402,36.36,17393,17259,99.23,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2&xnumnuts=3102
2,3103,74747,30572,40.90,30466,29495,96.81,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2&xnumnuts=3103
2,3104,57428,23419,40.78,23325,22573,96.78,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2&xnumnuts=3104
2,3105,41060,15464,37.66,15411,14938,96.93,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2&xnumnuts=3105
2,3106,56765,22852,40.26,22708,21571,94.99,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2&xnumnuts=3106
2,3107,83912,34419,41.02,34402,34148,99.26,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=2&xnumnuts=3107
3,3201,47893,18987,39.64,18976,18809,99.12,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3&xnumnuts=3201
3,3202,70941,28544,40.24,28532,28302,99.19,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3&xnumnuts=3202
3,3203,149447,61405,41.09,61076,59192,96.92,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3&xnumnuts=3203
3,3204,48149,20148,41.85,20135,19915,98.91,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3&xnumnuts=3204
3,3205,59280,23638,39.88,23628,23424,99.14,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3&xnumnuts=3205
3,3206,37908,16042,42.32,16035,15860,98.91,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3&xnumnuts=3206
3,3207,40842,14312,35.04,14237,13363,93.86,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=3&xnumnuts=3207
4,4101,72248,24605,34.06,24430,23146,94.74,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=4&xnumnuts=4101
4,4102,94966,36391,38.32,36356,36122,99.36,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=4&xnumnuts=4102
4,4103,74665,23677,31.71,23670,23474,99.17,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=4&xnumnuts=4103
5,4201,105441,39136,37.12,38866,36393,93.64,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=5&xnumnuts=4201
5,4202,100489,33344,33.18,33319,33069,99.25,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=5&xnumnuts=4202
5,4203,93983,37871,40.30,37811,37518,99.23,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=5&xnumnuts=4203
5,4204,69536,25818,37.13,25702,24141,93.93,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=5&xnumnuts=4204
5,4205,93234,36792,39.46,36777,36515,99.29,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=5&xnumnuts=4205
5,4206,103510,36433,35.20,36408,36110,99.18,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=5&xnumnuts=4206
5,4207,95172,38244,40.18,38220,37897,99.15,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=5&xnumnuts=4207
6,5101,82233,27600,33.56,27474,25949,94.45,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=6&xnumnuts=5101
6,5102,71554,26575,37.14,26562,26328,99.12,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=6&xnumnuts=5102
6,5103,134103,53025,39.54,52978,52231,98.59,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=6&xnumnuts=5103
6,5104,60459,25465,42.12,25439,25160,98.90,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=6&xnumnuts=5104
7,5201,131322,60745,46.26,60472,58622,96.94,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=7&xnumnuts=5201
7,5202,63494,25597,40.31,25580,25417,99.36,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=7&xnumnuts=5202
7,5203,90567,34992,38.64,34970,34634,99.04,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=7&xnumnuts=5203
7,5204,63076,26362,41.79,26226,24875,94.85,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=7&xnumnuts=5204
7,5205,97135,38186,39.31,37909,35974,94.90,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=7&xnumnuts=5205
8,5301,83942,35733,42.57,35711,35409,99.15,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=8&xnumnuts=5301
8,5302,133647,56455,42.24,56385,55484,98.40,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=8&xnumnuts=5302
8,5303,84160,35902,42.66,35892,35519,98.96,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=8&xnumnuts=5303
8,5304,110243,47466,43.06,47414,46821,98.75,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=8&xnumnuts=5304
9,6101,76832,35334,45.99,35316,35089,99.36,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=9&xnumnuts=6101
9,6102,89637,38369,42.80,38351,38089,99.32,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=9&xnumnuts=6102
9,6103,58627,27391,46.72,27224,26038,95.64,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=9&xnumnuts=6103
9,6104,91654,38951,42.50,38925,38664,99.33,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=9&xnumnuts=6104
9,6105,95416,44936,47.09,44639,42676,95.60,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=9&xnumnuts=6105
10,6201,85016,39124,46.02,39096,38888,99.47,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=10&xnumnuts=6201
10,6202,317948,130848,41.15,130489,128475,98.46,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=10&xnumnuts=6202
10,6203,157120,69558,44.27,69416,68092,98.09,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=10&xnumnuts=6203
10,6204,93056,32962,35.42,32943,32736,99.37,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=10&xnumnuts=6204
10,6205,129073,47986,37.18,47909,47260,98.65,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=10&xnumnuts=6205
10,6206,71080,30450,42.84,30251,28652,94.71,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=10&xnumnuts=6206
10,6207,90484,36472,40.31,36181,33603,92.87,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=10&xnumnuts=6207
11,7101,33479,12082,36.09,12079,11959,99.01,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=11&xnumnuts=7101
11,7102,188283,75731,40.22,75513,73566,97.42,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=11&xnumnuts=7102
11,7103,89590,35942,40.12,35920,35648,99.24,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=11&xnumnuts=7103
11,7104,109183,39756,36.41,39472,37433,94.83,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=11&xnumnuts=7104
11,7105,101324,37393,36.90,37314,36340,97.39,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=11&xnumnuts=7105
12,7201,88192,36715,41.63,36698,36367,99.10,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=12&xnumnuts=7201
12,7202,117409,50736,43.21,50558,48641,96.21,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=12&xnumnuts=7202
12,7203,118409,41890,35.38,41853,41419,98.96,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=12&xnumnuts=7203
12,7204,158514,69127,43.61,68902,66901,97.10,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=12&xnumnuts=7204
13,8101,79355,27828,35.07,27805,27545,99.06,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=13&xnumnuts=8101
13,8102,170143,68796,40.43,68467,65910,96.27,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=13&xnumnuts=8102
13,8103,221016,82259,37.22,82012,79807,97.31,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=13&xnumnuts=8103
13,8104,123099,47864,38.88,47805,47197,98.73,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=13&xnumnuts=8104
13,8105,144053,56466,39.20,56365,55353,98.20,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=13&xnumnuts=8105
13,8106,275344,107826,39.16,107502,105084,97.75,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=13&xnumnuts=8106
