CisloObce,NazevObce,Okres,Kraj,Volici,Vydane,Ucast,Odevzdane,Platne,PlatneProc,URL
529303,Benešov,2101,1,13272,5774,43.51,5772,5734,99.34,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529303
532568,Bernartice,2101,1,191,94,49.21,94,92,97.87,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532568
530743,Bílkovice,2101,1,165,104,63.03,104,102,98.08,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=530743
532380,Blažejovice,2101,1,88,57,64.77,57,57,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532380
532096,Borovnice,2101,1,65,43,66.15,43,43,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532096
532924,Bukovany,2101,1,541,210,38.82,210,207,98.57,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532924
529451,Bystřice,2101,1,3319,1438,43.33,1438,1432,99.58,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529451
532690,Ctiboř,2101,1,88,44,50.00,44,44,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532690
529478,Čakov,2101,1,95,47,49.47,47,47,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529478
529486,Čechtice,2101,1,1126,511,45.38,511,507,99.22,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529486
529516,Čerčany,2101,1,2160,930,43.06,930,922,99.14,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529516
529532,Červený Újezd,2101,1,261,132,50.57,132,126,95.45,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529532
529541,Český Šternberk,2101,1,121,54,44.63,54,54,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529541
529567,Čtyřkoly,2101,1,368,198,53.80,198,196,98.99,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529567
532746,Děkanovice,2101,1,51,28,54.90,28,28,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532746
529621,Divišov,2101,1,1185,515,43.46,514,509,99.03,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529621
529648,Dolní Kralovice,2101,1,761,370,48.62,370,368,99.46,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529648
532151,Drahňovice,2101,1,48,30,62.50,30,29,96.67,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532151
532843,Dunice,2101,1,57,36,63.16,36,36,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532843
529702,Heřmaničky,2101,1,550,227,41.27,227,220,96.92,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529702
532932,Hradiště,2101,1,31,18,58.06,18,18,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532932
529737,Hulice,2101,1,250,128,51.20,128,128,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529737
529745,Hvězdonice,2101,1,258,129,50.00,129,129,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529745
532886,Chářovice,2101,1,135,97,71.85,97,97,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532886
532878,Chleby,2101,1,49,28,57.14,28,28,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532878
532045,Chlístov,2101,1,262,105,40.08,105,105,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532045
529770,Chlum,2101,1,118,50,42.37,50,50,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529770
529788,Chmelná,2101,1,90,57,63.33,57,54,94.74,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529788
529796,Chocerady,2101,1,905,389,42.98,389,386,99.23,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529796
532606,Choratice,2101,1,58,32,55.17,32,32,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532606
529818,Chotýšany,2101,1,381,156,40.94,156,154,98.72,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529818
532037,Chrášťany,2101,1,155,70,45.16,70,70,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532037
529842,Jankov,2101,1,673,292,43.39,292,290,99.32,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529842
529851,Javorník,2101,1,109,64,58.72,64,64,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529851
532134,Ješetice,2101,1,105,44,41.90,44,44,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=532134
531031,Kamberk,2101,1,133,51,38.35,51,51,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=531031
529907,Keblov,2101,1,152,100,65.79,100,100,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529907
533084,Kladruby,2101,1,186,112,60.22,112,111,99.11,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=533084
529931,Kondrac,2101,1,360,180,50.00,180,180,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529931
529940,Kozmice,2101,1,197,97,49.24,97,96,98.97,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529940
529958,Krhanice,2101,1,714,290,40.62,290,289,99.66,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529958
529974,Krňany,2101,1,306,136,44.44,136,135,99.26,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529974
529991,Křečovice,2101,1,581,241,41.48,241,238,98.76,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=529991
530000,Křivsoudov,2101,1,326,125,38.34,125,125,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=530000
530026,Kuňovice,2101,1,68,50,73.53,50,50,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=530026
530051,Lešany,2101,1,480,194,40.42,193,193,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=530051
530069,Libež,2101,1,143,70,48.95,70,70,100.00,http://volby.cz/pls/kz2008/kz311?xjazyk=CZ&xdatum=20081017&xkraj=1&xobec=530069
