"OkresNazev","pop2010","popmale","popfemale","pop14","pop1564","pop65","oldindex","unem2004","unem2005","unem2006","unem2007","unem2008","unem2009","unem2010","dunem","urban"
"Benešov",94652,46849,47803,13929,65996,14727,105.7,4.3,4.47,4.11,3.42,2.81,4.29,5.44,2.63,52.4
"Beroun",85081,41996,43085,13182,58908,12991,98.6,5.29,5.37,4.58,4.08,3.38,5.48,7.27,3.89,41.0
"Blansko",106884,52515,54369,15511,74025,17348,111.8,8.41,8.39,7.05,6.03,5.48,9.86,10.21,4.73,51.6
"Břeclav",113842,55573,58269,15917,81118,16807,105.6,10.32,10.58,9.81,8.17,6.06,9.38,11.07,5.01,45.5
"Brno-město",371371,178567,192804,48582,256490,66299,136.5,9.84,9.53,8.54,6.86,5.54,7.29,8.46,2.92,100.0
"Brno-venkov",203216,100139,103077,31750,139816,31650,99.7,7.32,6.9,6.17,5.06,4.23,6.5,8.32,4.09,36.6
"Bruntál",97369,47983,49386,14231,69673,13465,94.6,16.24,16.05,14.06,11.39,9.73,13.71,15.64,5.91,65.2
"Česká Lípa",104278,51310,52968,16491,74803,12984,78.7,9.42,8.27,7.86,7.15,6.73,12.3,12.24,5.51,81.3
"České Budějovice",187799,92016,95783,27185,132144,28470,104.7,4.04,4.24,4.24,3.71,3.22,5.12,5.8,2.58,73.4
"Český Krumlov",61706,30959,30747,9814,44007,7885,80.3,9.2,9.58,8.77,6.48,5.61,8.55,9.41,3.8,51.1
"Cheb",95321,46736,48585,14366,67815,13140,91.5,8.14,8.08,7.18,6.22,5.68,8.89,9.34,3.66,85.1
"Chomutov",127218,63066,64152,19363,91809,16046,82.9,16.73,16.17,14.05,11.02,9.1,12.63,12.86,3.76,86.7
"Chrudim",104395,51596,52799,15295,72431,16669,109,8.66,8.27,6.98,5.95,5.23,8.74,9.8,4.57,54.0
"Děčín",135238,66900,68338,21011,95162,19065,90.7,14.23,15.04,14.08,11.75,10.19,13.41,15.08,4.89,85.1
"Domažlice",60780,30207,30573,9084,42770,8926,98.3,6.37,6.38,5.7,4.91,4.44,8.28,9.06,4.62,54.4
"Frýdek-Místek",212100,104154,107946,30986,149136,31978,103.2,13.89,12.92,11.01,9.08,6.22,8.49,9.36,3.14,58.0
"Havlíčkův Brod",95679,47427,48252,13738,66307,15634,113.8,6.77,6.19,5.61,4.8,4.3,8.79,9.06,4.76,61.3
"Hodonín",156524,76874,79650,21173,110819,24532,115.9,13.71,14.32,13.77,11.34,9.85,13.39,14.94,5.09,47.6
"Hradec Králové",163378,79274,84104,22848,112296,28234,123.6,6.29,6.36,5.69,4.49,3.68,5.25,6.5,2.82,75.0
"Jablonec nad Nisou",90569,44145,46424,13289,63448,13832,104.1,7.23,7.02,6.08,5.71,5.49,9.9,10.97,5.48,80.0
"Jeseník",41095,20424,20671,5811,29329,5955,102.5,15.05,16.5,14.91,11.58,9.59,13.21,15.56,5.97,47.5
"Jičín",80165,39867,40298,11330,55750,13085,115.5,8.49,8.83,7.21,6.15,5.1,8.15,8.69,3.59,57.7
"Jihlava",112707,55905,56802,16517,78906,17284,104.6,7.13,6.82,6.04,5.24,4.71,8.42,8.83,4.12,65.7
"Jindřichův Hradec",93180,46019,47161,13431,65338,14411,107.3,6.75,6.83,6.3,4.83,3.59,6.65,7.24,3.65,59.6
"Karlovy Vary",119289,58385,60904,16574,84094,18621,112.4,9.75,10.06,9.6,8.11,6.86,9.66,10.34,3.48,79.6
"Karviná",270412,132900,137512,37409,191128,41875,111.9,19.49,19.03,17.98,15.08,12.07,13.89,14.17,2.1,89.2
"Kladno",160742,78852,81890,24337,111723,24682,101.4,8.87,8.6,7.98,6.7,5.42,7.47,8.87,3.45,68.1
