Rank,Name,Count
1,Marie,332 918
2,Jana,275 141
3,Eva,161 309
4,Anna,151 558
5,Hana,151 179
6,Věra,129 139
7,Lenka,118 801
8,Alena,110 564
9,Kateřina,107 560
10,Petra,101 644
11,Lucie,100 369
12,Jaroslava,96 617
13,Ludmila,89 420
14,Helena,84 888
15,Jitka,81 038
16,Martina,80 808
17,Zdeňka,79 507
18,Veronika,77 960
19,Jarmila,73 259
20,Michaela,72 659
21,Ivana,70 395
22,Jiřina,69 555
23,Monika,62 625
24,Tereza,61 070
25,Božena,58 801
26,Zuzana,57 288
27,Vlasta,56 150
28,Markéta,55 832
29,Marcela,55 644
30,Dagmar,54 430
31,Dana,52 279
32,Libuše,48 716
33,Marta,46 447
34,Irena,45 695
35,Miroslava,45 177
36,Barbora,45 169
37,Pavla,42 621
38,Eliška,42 144
39,Růžena,42 001
40,Olga,39 740
41,Kristýna,39 439
42,Andrea,39 017
43,Iveta,36 854
44,Šárka,36 699
45,Pavlína,35 398
46,Blanka,33 806
47,Milada,33 710
48,Zdenka,32 248
49,Klára,31 327
50,Renata,31 092
51,Nikola,29 677
52,Gabriela,28 489
53,Adéla,27 996
54,Radka,26 789
55,Simona,26 663
56,Milena,26 608
57,Miloslava,26 559
58,Iva,26 085
59,Daniela,24 920
60,Miluše,23 516
61,Denisa,22 925
62,Karolína,22 421
63,Romana,22 110
64,Aneta,22 011
65,Ilona,21 030
66,Stanislava,20 783
67,Květoslava,20 719
68,Emilie,20 664
69,Anežka,20 579
70,Naděžda,19 522
71,Soňa,19 468
72,Vladimíra,18 808
73,Kamila,18 171
74,Drahomíra,17 706
75,Danuše,17 568
76,Jindřiška,16 692
77,Natálie,16 665
78,Františka,16 352
79,Renáta,16 342
80,Mária,14 316
81,Alžběta,13 059
82,Vendula,12 309
83,Štěpánka,12 019
84,Bohumila,11 379
85,Ladislava,10 164
86,Magdalena,10 089
87,Dominika,9 543
88,Blažena,9 242
89,Žaneta,8 728
90,Květa,8 658
91,Sabina,8 498
92,Julie,8 471
93,Antonie,8 261
94,Alice,8 174
95,Kristina,7 904
96,Karla,7 727
97,Hedvika,7 488
98,Květuše,7 454
99,Alexandra,7 366
100,Silvie,7 323
101,Sára,7 117
102,Erika,6 901
103,Nela,6 878
104,Václava,6 776
105,Edita,6 373
106,Magdaléna,6 373
107,Nikol,6 252
108,Leona,6 242
109,Jolana,6 140
110,Margita,5 995
111,Bohuslava,5 883
112,Josefa,5 706
113,Terezie,5 619
114,Linda,5 558
115,Magda,5 490
116,Lada,5 437
117,Adriana,5 022
118,Dita,4 973
119,Vladislava,4 971
120,Taťána,4 817
121,Sandra,4 740
122,Radmila,4 704
123,Svatava,4 667
124,Darina,4 646
125,Sylva,4 507
126,Viktorie,4 475
127,Ivona,4 336
128,Bronislava,4 327
129,Elena,4 280
130,Ivanka,4 211
131,Oldřiška,4 175
132,Anděla,4 090
133,Drahoslava,4 055
134,Miluška,3 998
135,Maria,3 826
136,Světlana,3 794
137,Diana,3 740
138,Lidmila,3 725
139,Michala,3 530
140,Jindra,3 507
141,Vlastimila,3 343
142,Karin,3 308
143,Karín,3 308
144,Zdena,3 289
145,Jaromíra,3 253
146,Karolina,3 180
147,Katarína,3 170
148,Vanda,3 161
149,Alenka,3 093
150,Ema,2 983
151,Žofie,2 952
152,Ingrid,2 835
153,Nina,2 827
154,Viera,2 759
155,Nataša,2 706
156,Valerie,2 704
157,Dáša,2 655
158,Zlata,2 608
159,Lydie,2 544
160,Tamara,2 530
161,Johana,2 505
162,Patricie,2 458
163,Emília,2 392
164,Danuška,2 298
165,Ester,2 271
166,Gertruda,2 248
167,Sylvie,2 233
168,Aloisie,2 228
169,Barbara,2 161
170,Marika,2 148
171,Yvona,2 141
172,Oksana,2 099
173,Naďa,2 064
174,Olena,2 017
175,Bedřiška,2 001
176,Regina,1 984
177,Svitlana,1 976
178,Hanna,1 942
179,Zděnka,1 922
180,Vilma,1 917
181,Bohdana,1 910
182,Bára,1 882
183,Miriam,1 880
184,Radomíra,1 853
185,Zlatuše,1 826
186,Yveta,1 748
187,Alžbeta,1 746
188,Nicole,1 711
