"KODPOU","KODORP","KODOKRES","KODKRAJ","KODOBLAST","KODOBCE","KODNUM","NAZEV","PocetObyv","Prirustek","MigraceSaldo","Under15Perc","Under15","Over65Perc","Over65","PocetCastiObce","NezamPerc","UchazeciOPraciDosazitelni","UchazeciOPRaci","UchazeciOPraciAbsolventi","UchazeciOPraciNad12mesicu","BytyDokoncene","BytyDokoncenevRD","HromadnaUbytZar","LazenskeLecebny","LuzkavLaznich","PodilZemedPudy","PodilOrneNaZemed","PodilTrvalychTravnichNaZemed","PodilZastavenychnaVymere","PodilVodnichnaVymere","PodilLesaNaVymere","EkolStabilKoef","OrnaPudaHa","ChmelniceHA","ViniceHA","ZahradyHA","OvocneSadyHa","TrvaleTravniHA","LesniPudaHa","VodniPlochaHa","ZastavenePlochyHa","OstatniPlochyHa","ZemedelskaPudaHa","VymeraHa","ZiveNarozeni","Zemreli","Pristehovali","Vystehovali","VekPrum","Pocet15az64"
"81051","8105","CZ0804","CZ080","CZ08","500259","500259","Veřovice",1968,-1,30,15.0914634146,297,14.5833333333,287,1,3.22,29,40,1,12,4,4,0,0,0,44.1650786372,51.3710917478,38.6142801406,5.8826904542,0.4736787329,49.4785521757,2.5001,376.0442,0,0,73.3086,0,282.6624,820.0835,7.851,21.9058,75.597,732.0152,1657.4525,16,17,61,31,39.75,1384
"81191","8119","CZ0806","CZ080","CZ08","500291","500291","Vřesina",2552,-6,66,14.3808777429,367,16.4576802508,420,1,5.22,59,69,4,26,20,13,1,0,0,62.3980359007,75.3674303895,13.3401577329,11.5966246319,0.8838747323,25.1214647351,0.7058,406.9279,0,0,60.9706,0,72.0269,217.3741,7.6481,26.4634,73.8813,539.9254,865.2923,21,27,123,57,41.59,1765
"71072","7107","CZ0712","CZ071","CZ07","500496","500496","Olomouc",100373,127,78,13.1549321033,13204,15.4244667391,15482,26,4.85,2625,2782,178,723,516,79,31,0,0,56.5472638453,84.5027421319,6.0299794284,29.9787148182,2.323266702,11.1507546345,0.286,4937.7489,3.0517,0,534.7616,15.3882,352.3498,1152.261,240.0743,719.0907,2378.7538,5843.3002,10333.48,1116,989,2598,2520,40.94,71687
"71072","7107","CZ0712","CZ071","CZ07","500526","500526","Bělkovice-Lašťany",2040,18,23,16.9117647059,345,13.6764705882,279,1,3.66,37,39,1,10,6,4,0,0,0,51.8891271204,88.0839462155,5.5890440299,7.7143811049,0.9093905021,39.4871012726,0.8719,699.1421,0.5502,0,49.6687,0,44.3615,604.0148,13.9105,29.2007,88.8024,793.7225,1529.6509,30,12,65,42,39.03,1416
"71051","7105","CZ0712","CZ071","CZ07","500623","500623","Bílá Lhota",1107,5,12,14.5438121048,161,16.8925022584,187,7,7.47,39,40,2,13,1,1,0,0,0,59.1692279465,80.1684553825,16.0981546632,6.8103784981,1.2313424842,32.7890510712,0.8435,863.4978,0,0,37.4881,2.7244,173.3939,596.885,22.4151,26.4523,97.5224,1077.1042,1820.379,13,8,32,20,41.06,759
"71072","7107","CZ0712","CZ071","CZ07","500801","500801","Blatec",589,1,3,15.9592529711,94,12.5636672326,74,1,1.96,6,7,1,1,,0,0,0,0,88.3644273356,94.6327193758,2.7437407935,9.6393280002,1.9578378208,0.0384068434,0.0723,550.6289,0,0,14.7654,0.4999,15.9647,0.2529,12.8919,12.4842,50.9885,581.8589,658.4764,6,5,22,19,39.03,421
"71072","7107","CZ0712","CZ071","CZ07","500852","500852","Bohuňovice",2473,-9,33,15.6085725839,386,13.3036797412,329,1,4.34,52,55,5,8,12,9,0,0,0,87.9756281154,92.4311651651,3.8252725195,10.374483172,0.7781530485,0.871735664,0.0906,1022.385,0,0,40.8452,0.5625,42.3115,10.9602,9.7836,32.9484,97.4884,1106.1042,1257.2848,20,29,74,41,38.83,1758
"71051","7105","CZ0712","CZ071","CZ07","500861","500861","Bouzov",1503,-3,16,13.9055222888,209,16.0345974717,241,13,7.3,54,60,4,10,1,1,3,0,0,37.9207053926,58.3666120634,26.1176234503,4.5901843203,0.6603614356,56.8287488515,2.7421,936.5527,0,0,93.4052,155.5613,419.0843,2404.6918,27.943,34.9077,159.3246,1604.6035,4231.4706,16,19,49,33,40.81,1053
"71072","7107","CZ0712","CZ071","CZ07","500879","500879","Bystročice",636,5,15,14.9371069182,95,13.8364779874,88,2,4.03,12,13,1,7,2,2,0,0,0,92.1082532758,88.16821257,0.8303610155,7.2784441234,0.398671652,0.2146309488,0.1301,650.6852,60.4031,2.5568,17.7203,0.5108,6.1281,1.7197,3.1943,12.3447,45.9728,738.0043,801.2358,12,7,27,12,40.02,453
"71121","7112","CZ0712","CZ071","CZ07","501476","501476","Dlouhá Loučka",1858,10,31,14.6932185145,273,13.4015069968,249,3,10.35,97,101,6,28,5,2,0,0,0,69.6356728495,81.9785002689,13.4231795058,10.1396569073,0.7732673675,19.4514028757,0.4875,1520.2512,0,0,77.7472,7.5264,248.9263,518.0057,20.5927,51.1581,218.8687,1854.4511,2663.0763,25,15,58,27,40.04,1336
"71072","7107","CZ0712","CZ071","CZ07","501646","501646","Dolany",2410,2,41,16.9709543568,409,13.2780082988,320,3,5.01,51,53,4,11,11,11,0,0,0,47.3155087405,77.021447967,15.4589456606,7.3223675356,0.4855052522,44.8766184718,1.2849,866.1802,0,0,82.8967,1.6685,173.8507,1066.6285,11.5395,36.4244,137.6138,1124.5961,2376.8023,24,22,106,65,38.32,1681
