Kraj,Kandidatka,PoradiKand,KandJmeno,KandJmenoPrijmeni,KandKrestniJmeno,KandTitul,Povolani,Bydliste,KandVek,Hlasy,Procenta,Mandat,PoradiVysl,Prislusnost,NavrhujiciStrana,URL
1,1,54,Barták Jan  JUDr.,Barták Jan,Jan,JUDr.,právník,Čelákovice,61,125,0.22,-,44,BEZPP,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,47,Beneš Milan,Beneš Milan,Milan,,technik,Bělá pod Bezdězem,42,143,0.26,-,37,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,43,Bláha Miloš,Bláha Miloš,Miloš,,zaměstnanec ČD,Pečky,42,267,0.48,-,33,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,59,Bradáč Antonín,Bradáč Antonín,Antonín,,zaměstnanec BA,Bečváry,52,115,0.21,-,49,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,64,Carvan Rudolf  Bc.,Carvan Rudolf,Rudolf,Bc.,státní zaměstnanec,Kladno,52,96,0.17,-,54,BEZPP,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,10,Cinka Ivan  Mgr.,Cinka Ivan,Ivan,Mgr.,novinář,Benešov,51,680,1.24,1,10,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,57,Čechák Vilém  Ing.,Čechák Vilém,Vilém,Ing.,dopravní technik,Olbramovice,68,180,0.32,-,47,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,39,Červenka Tomáš,Červenka Tomáš,Tomáš,,autodopravce,Chlumín,39,112,0.20,-,29,BEZPP,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,70,Dolejší Jaroslava,Dolejší Jaroslava,Jaroslava,,úřednice,Slaný,61,116,0.21,-,60,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,23,Dovolil Josef  Ing.,Dovolil Josef,Josef,Ing.,podnikatel,Mladá Boleslav,51,550,1.00,-,13,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,50,Duník Vladimír,Duník Vladimír,Vladimír,,mistr,Čelákovice,51,158,0.28,-,40,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,3,Fialová Jiřina,Fialová Jiřina,Jiřina,,poslankyně,Vraňany,58,1418,2.59,1,3,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,44,Franta Bohumil,Franta Bohumil,Bohumil,,vedoucí obchodního střediska,Olbramovice,43,123,0.22,-,34,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,45,Fryčer Jan,Fryčer Jan,Jan,,bezpečnostní technik,Úvaly,44,70,0.12,-,35,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,28,Grospičová Alena,Grospičová Alena,Alena,,dělnice,Mladá Boleslav,51,1095,2.00,-,18,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,30,Hájková Alžběta,Hájková Alžběta,Alžběta,,úřednice,Kounice,47,137,0.25,-,20,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,7,Hajleková Zdeňka  Ing.,Hajleková Zdeňka,Zdeňka,Ing.,lesní inženýrka,Brandýs nad Labem-Stará Boleslav,49,865,1.58,1,7,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,41,Hála Josef  RSDr.,Hála Josef,Josef,RSDr.,starosta,Jince,55,594,1.08,-,31,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,51,Hermann Vladimír  JUDr.,Hermann Vladimír,Vladimír,JUDr.,právník,Kosmonosy,60,229,0.41,-,41,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,32,Hlaváček Josef,Hlaváček Josef,Josef,,ekonom,Milovice,41,250,0.45,-,22,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,42,Hnyková Jitka,Hnyková Jitka,Jitka,,prodavačka,Kutná Hora,36,300,0.54,-,32,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,18,Hofmann Ondřej,Hofmann Ondřej,Ondřej,,vlakvedoucí,Rakovník,23,713,1.30,-,8,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,12,Horváthová Hana,Horváthová Hana,Hana,,odborná referentka,Zruč nad Sázavou,54,337,0.61,-,2,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,60,Hroníková Eva,Hroníková Eva,Eva,,prodavačka,Kladno,53,212,0.38,-,50,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,5,Hubený Pavel,Hubený Pavel,Pavel,,starosta,Hudlice,54,820,1.50,1,5,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,26,Humlová Jiřina  Mgr.,Humlová Jiřina,Jiřina,Mgr.,právnička,Příbram,50,1152,2.11,-,16,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,52,Hyka Drahoslav,Hyka Drahoslav,Drahoslav,,pilot,Obříství,60,208,0.38,-,42,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,22,Janík Jaromír,Janík Jaromír,Jaromír,,dělník,Davle,50,344,0.63,-,12,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
1,1,62,Jelínek Jaroslav,Jelínek Jaroslav,Jaroslav,,dělník- seřizovač,Sadská,56,131,0.23,-,52,KSČM,KSČM,http://volby.cz/pls/kz2008/kz111?xjazyk=CZ&xdatum=20081017&xkraj=1&xstrana=1&xv=1&xt=1
