Kraj,Hlasy,Procenta,KandidatkaNazev,KandidatkaCislo,URL
1,11115,3.17,"""Sdružení nestraníků""",3,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,5452,1.55,Volte Pr.Blok www.cibulka.net,7,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,1579,0.45,Strana soukromníků ČR,16,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,5311,1.51,"SUVERENITA - blok JB, SZR",19,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,896,0.25,Nár.socialisté-levice 21.stol.,22,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,40981,11.71,TOP 09 a Starostové pro STČ,29,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,2226,0.63,Věci veřejné,30,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,2636,0.75,ZMĚNA 2012,31,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,71975,20.57,Komunistická str.Čech a Moravy,43,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,9071,2.59,Strana zelených,51,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,2801,0.80,Středočeši2012.cz,52,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,76255,21.79,Česká str.sociálně demokrat.,60,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,10764,3.07,"Koalice KDU-ČSL, SNK a nez.",68,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,64101,18.32,Občanská demokratická strana,70,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,8236,2.35,Strana svobodných občanů,77,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,5744,1.64,Hn.na podporu dobrovol.hasičů,78,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,3444,0.98,Dělnic.str.sociální spravedl.,80,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,2862,0.81,Komunistická str.Českosloven.,83,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,4986,1.42,"""UNP-STŘEDOČEŠI 2012""",88,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,8744,2.49,SPO ZEMANOVCI - Češi,91,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
1,10617,3.03,Česká pirátská strana,93,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=1
2,1865,0.97,Volte Pr.Blok www.cibulka.net,7,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,4169,2.17,Strana Práv Občanů ZEMANOVCI,8,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,441,0.22,Moravané,20,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,1965,1.02,SUVERENITA - Blok JB pro JCK,21,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,389,0.20,Nár.socialisté-levice 21.stol.,22,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,1136,0.59,Věci veřejné,30,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,9614,5.00,TOP 09 a Starostové pro JHČ,33,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,37187,19.37,Komunistická str.Čech a Moravy,43,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,3211,1.67,Strana zelených,51,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,3480,1.81,DSSS-STOP NEPŘIZPŮSOBIVÝM!,53,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,27972,14.57,"""JIHOČEŠI 2012""",59,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,53736,27.99,Česká str.sociálně demokrat.,60,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,2991,1.55,Jč koalice SNK ED a SsČR,64,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,139,0.07,"REPUBL.STR.ČECH,MORAVY A SLEZ.",65,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,24110,12.56,Občanská demokratická strana,70,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,3722,1.93,Strana svobodných občanů,77,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,12341,6.43,Křesť.demokr.unie-Čs.str.lid.,84,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
2,3449,1.79,Česká pirátská strana,93,http://volby.cz/pls/kz2012/kz311?xjazyk=CZ&xdatum=20121012&xkraj=2
