Kraj,Kandidatka,PoradiKand,KandJmeno,KandJmenoPrijmeni,KandKrestniJmeno,KandTitul,Povolani,Bydliste,KandVek,Hlasy,Procenta,Mandat,PoradiVysl,Prislusnost,NavrhujiciStrana,URL
5,1,28,Balín Vlastimil  RSDr.,Balín Vlastimil,Vlastimil,RSDr.,důchodce,Most,61,53,0.00,NA,NA,OMMO,OMMO,http://volby.cz/pls/kz2012/kz111?xjazyk=CZ&xdatum=20121012&xkraj=5&xstrana=1&xv=1&xt=1
5,1,32,Bartoš Vojtěch,Bartoš Vojtěch,Vojtěch,,opravář zemědělských strojů,Louny,27,22,0.00,NA,NA,BEZPP,OMMO,http://volby.cz/pls/kz2012/kz111?xjazyk=CZ&xdatum=20121012&xkraj=5&xstrana=1&xv=1&xt=1
5,1,9,Berky Bohumír,Berky Bohumír,Bohumír,,živnostník,Duchcov,57,15,0.00,NA,NA,BEZPP,OMMO,http://volby.cz/pls/kz2012/kz111?xjazyk=CZ&xdatum=20121012&xkraj=5&xstrana=1&xv=1&xt=1
5,1,24,Bíba Josef,Bíba Josef,Josef,,podnikatel,Lužice,62,12,0.00,NA,NA,OMMO,OMMO,http://volby.cz/pls/kz2012/kz111?xjazyk=CZ&xdatum=20121012&xkraj=5&xstrana=1&xv=1&xt=1
5,1,6,Bílková Martina,Bílková Martina,Martina,,švadlena,Teplice,41,25,0.00,NA,NA,BEZPP,OMMO,http://volby.cz/pls/kz2012/kz111?xjazyk=CZ&xdatum=20121012&xkraj=5&xstrana=1&xv=1&xt=1
5,1,16,Bozetická Alena,Bozetická Alena,Alena,,administrativní pracovnice,Lom,59,30,0.00,NA,NA,BEZPP,OMMO,http://volby.cz/pls/kz2012/kz111?xjazyk=CZ&xdatum=20121012&xkraj=5&xstrana=1&xv=1&xt=1
5,1,27,Bozetický Josef,Bozetický Josef,Josef,,důchodce,Lom,71,18,0.00,NA,NA,BEZPP,OMMO,http://volby.cz/pls/kz2012/kz111?xjazyk=CZ&xdatum=20121012&xkraj=5&xstrana=1&xv=1&xt=1
5,1,26,Brabec Petr,Brabec Petr,Petr,,servisní technik,Most,56,9,0.00,NA,NA,BEZPP,OMMO,http://volby.cz/pls/kz2012/kz111?xjazyk=CZ&xdatum=20121012&xkraj=5&xstrana=1&xv=1&xt=1
5,1,8,Caklová Drahomíra  Bc.,Caklová Drahomíra,Drahomíra,Bc.,učitelka MŠ,Varnsdorf,49,72,0.00,NA,NA,BEZPP,OMMO,http://volby.cz/pls/kz2012/kz111?xjazyk=CZ&xdatum=20121012&xkraj=5&xstrana=1&xv=1&xt=1
5,1,1,Dancso Marian,Dancso Marian,Marian,,správce PC učebny,Lom,31,108,0.00,NA,NA,OMMO,OMMO,http://volby.cz/pls/kz2012/kz111?xjazyk=CZ&xdatum=20121012&xkraj=5&xstrana=1&xv=1&xt=1
