Kraj,Okres,Hlasy,Procenta,KandidatkaNazev,KandidatkaCislo,URL
1,1100,1246,0.19,OBČANÉ.CZ,1,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,65742,10.31,Věci veřejné,4,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,306,0.04,Konzervativní strana,5,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,41647,6.53,Komunistická str.Čech a Moravy,6,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,811,0.12,Koruna Česká (monarch.strana),7,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,295,0.04,Česká strana národně sociální,8,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,96706,15.17,Česká str.sociálně demokrat.,9,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,19851,3.11,Strana Práv Občanů ZEMANOVCI,13,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,195,0.03,STOP,14,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,173840,27.27,TOP 09,15,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,196,0.03,EVROPSKÝ STŘED,16,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,13837,2.17,Křesť.demokr.unie-Čs.str.lid.,17,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,2421,0.37,Volte Pr.Blok www.cibulka.net,18,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,30528,4.78,Strana zelených,20,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,14599,2.29,Suverenita-blok J.Bobošíkové,21,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,552,0.08,Humanistická strana,22,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,4792,0.75,Česká pirátská strana,23,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,4242,0.66,Dělnic.str.sociální spravedl.,24,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,6409,1.00,Strana svobodných občanů,25,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,158014,24.79,Občanská demokratická strana,26,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
1,1100,1099,0.17,Klíčové hnutí,27,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
2,2101,118,0.24,OBČANÉ.CZ,1,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2101
2,2101,15,0.03,Liberálové.CZ,2,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2101
2,2101,4723,9.62,Věci veřejné,4,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2101
2,2101,13,0.02,Konzervativní strana,5,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2101
2,2101,5377,10.95,Komunistická str.Čech a Moravy,6,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2101
2,2101,83,0.16,Koruna Česká (monarch.strana),7,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2101
