Kraj,Okres,Volici,Vydane,Ucast,Odevzdane,Platne,PlatneProc,URL
1,1100,943459,641416,67.99,640740,637328,99.47,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
2,2101,77029,49406,64.14,49372,49083,99.41,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2101
2,2102,66770,43703,65.45,43677,43464,99.51,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2102
2,2103,126230,75321,59.67,75245,74811,99.42,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2103
2,2104,76636,47803,62.38,47769,47467,99.37,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2104
2,2105,60529,38226,63.15,38214,38020,99.49,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2105
2,2106,80389,48479,60.31,48436,48178,99.47,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2106
2,2107,94133,59805,63.53,59774,59415,99.40,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2107
2,2108,73397,46272,63.04,46248,46010,99.49,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2108
2,2109,107418,75150,69.96,75096,74698,99.47,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2109
2,2110,88074,63136,71.69,63060,62715,99.45,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2110
2,2111,92384,59640,64.56,59608,59265,99.42,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2111
2,2112,43981,27265,61.99,27242,27077,99.39,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2112
3,3101,150408,97949,65.12,97886,97359,99.46,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=3&xnumnuts=3101
3,3102,48586,28923,59.53,28905,28721,99.36,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=3&xnumnuts=3102
3,3103,76590,48002,62.67,47964,47680,99.41,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=3&xnumnuts=3103
3,3104,57911,36617,63.23,36607,36364,99.34,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=3&xnumnuts=3104
3,3105,41707,25154,60.31,25145,24991,99.39,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=3&xnumnuts=3105
3,3106,57005,35457,62.20,35438,35260,99.50,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=3&xnumnuts=3106
3,3107,84420,54949,65.09,54922,54570,99.36,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=3&xnumnuts=3107
4,3201,48083,28635,59.55,28621,28481,99.51,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=4&xnumnuts=3201
4,3202,71956,44653,62.06,44628,44390,99.47,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=4&xnumnuts=3202
4,3203,148523,94933,63.92,94831,94249,99.39,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=4&xnumnuts=3203
4,3204,49073,30415,61.98,30391,30155,99.22,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=4&xnumnuts=3204
4,3205,60380,37115,61.47,37098,36802,99.20,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=4&xnumnuts=3205
4,3206,38401,23918,62.28,23896,23716,99.25,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=4&xnumnuts=3206
4,3207,41328,22655,54.82,22639,22471,99.26,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=4&xnumnuts=3207
5,4101,72597,38765,53.40,38732,38348,99.01,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=5&xnumnuts=4101
5,4102,95353,54364,57.01,54320,53909,99.24,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=5&xnumnuts=4102
5,4103,75224,38285,50.89,38261,37905,99.07,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=5&xnumnuts=4103
6,4201,105658,59065,55.90,59026,58618,99.31,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=6&xnumnuts=4201
6,4202,100362,51610,51.42,51555,51229,99.37,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=6&xnumnuts=4202
6,4203,94847,56876,59.97,56820,56443,99.34,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=6&xnumnuts=4203
6,4204,70203,40015,57.00,39981,39771,99.47,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=6&xnumnuts=4204
6,4205,92982,49807,53.57,49776,49482,99.41,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=6&xnumnuts=4205
6,4206,103182,57246,55.48,57175,56796,99.34,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=6&xnumnuts=4206
6,4207,94941,53938,56.81,53883,53461,99.22,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=6&xnumnuts=4207
7,5101,83437,45964,55.09,45942,45600,99.26,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=7&xnumnuts=5101
7,5102,72038,45229,62.78,45185,44920,99.41,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=7&xnumnuts=5102
7,5103,134399,83450,62.09,83396,82814,99.30,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=7&xnumnuts=5103
7,5104,61042,40861,66.94,40838,40583,99.38,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=7&xnumnuts=5104
8,5201,131463,89321,67.94,89255,88681,99.36,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=8&xnumnuts=5201
