Kraj,Volici,Vydane,Ucast,Odevzdane,Platne,PlatneProc,URL
1,943459,641416,67.99,640740,637328,99.47,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1
2,986970,634206,64.26,633741,630203,99.44,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2
3,527294,335273,63.58,335078,333117,99.41,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=3
4,457744,282324,61.68,282104,280264,99.35,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=4
5,243174,131414,54.04,131313,130162,99.12,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=5
6,662175,368557,55.66,368216,365800,99.34,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=6
7,350916,215504,61.41,215361,213917,99.33,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=7
8,448399,291129,64.93,290949,288981,99.32,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=8
9,413460,270786,65.49,270619,268863,99.35,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=9
10,414918,272521,65.68,272387,270872,99.44,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
11,950098,601118,63.27,600618,597136,99.42,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
12,522185,324404,62.12,324072,321871,99.32,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
13,483839,310944,64.27,310630,308592,99.34,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=13
14,1011261,588502,58.19,587994,583753,99.28,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=14
