CisloObce,NazevObce,Okres,Kraj,Volici,Vydane,Ucast,Odevzdane,Platne,PlatneProc,URL
500054,Praha 1,1100,1,24178,16869,69.77,16854,16752,99.39,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=500054
500224,Praha 10,1100,1,85918,58220,67.76,58172,57898,99.53,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=500224
547034,Praha 11,1100,1,62144,43085,69.33,43054,42791,99.39,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547034
547107,Praha 12,1100,1,43739,30065,68.74,30023,29884,99.54,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547107
539694,Praha 13,1100,1,41969,28343,67.53,28322,28198,99.56,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=539694
547361,Praha 14,1100,1,31802,19762,62.14,19722,19632,99.54,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547361
547387,Praha 15,1100,1,23283,16108,69.18,16090,16012,99.52,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547387
539601,Praha 16,1100,1,6043,4418,73.11,4414,4385,99.34,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=539601
547174,Praha 17,1100,1,19003,12560,66.09,12553,12483,99.44,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547174
547417,Praha 18,1100,1,12393,8186,66.05,8175,8126,99.40,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547417
547344,Praha 19,1100,1,4540,3449,75.97,3448,3434,99.59,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547344
500089,Praha 2,1100,1,36548,24245,66.34,24218,24114,99.57,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=500089
538213,Praha 20,1100,1,11109,7857,70.73,7845,7808,99.53,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538213
538949,Praha 21,1100,1,7236,5217,72.10,5215,5175,99.23,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538949
538931,Praha 22,1100,1,5591,3987,71.31,3987,3968,99.52,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538931
500097,Praha 3,1100,1,56645,36383,64.23,36353,36166,99.49,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=500097
500119,Praha 4,1100,1,102641,69980,68.18,69921,69547,99.47,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=500119
500143,Praha 5,1100,1,60571,41224,68.06,41139,40917,99.46,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=500143
500178,Praha 6,1100,1,76005,55623,73.18,55545,55222,99.42,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=500178
500186,Praha 7,1100,1,31845,20944,65.77,20925,20817,99.48,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=500186
500208,Praha 8,1100,1,82368,53746,65.25,53691,53384,99.43,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=500208
500216,Praha 9,1100,1,39173,24233,61.86,24216,24089,99.48,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=500216
538060,Praha-Běchovice,1100,1,1431,1002,70.02,1002,1002,100.00,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538060
538078,Praha-Benice,1100,1,407,324,79.61,324,323,99.69,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538078
538124,Praha-Březiněves,1100,1,752,605,80.45,605,605,100.00,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538124
547310,Praha-Čakovice,1100,1,6182,4387,70.96,4379,4359,99.54,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547310
547298,Praha-Ďáblice,1100,1,2274,1656,72.82,1655,1651,99.76,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547298
547301,Praha-Dolní Chabry,1100,1,2686,1932,71.93,1932,1923,99.53,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547301
547379,Praha-Dolní Měcholupy,1100,1,1266,962,75.99,960,949,98.85,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547379
538175,Praha-Dolní Počernice,1100,1,1660,1223,73.67,1223,1219,99.67,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538175
538205,Praha-Dubeč,1100,1,2373,1732,72.99,1732,1707,98.56,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538205
538302,Praha-Klánovice,1100,1,2433,1820,74.80,1820,1809,99.40,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538302
538353,Praha-Koloděje,1100,1,941,735,78.11,735,734,99.86,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538353
538361,Praha-Kolovraty,1100,1,2234,1676,75.02,1676,1644,98.09,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538361
538388,Praha-Královice,1100,1,244,167,68.44,167,164,98.20,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538388
538400,Praha-Křeslice,1100,1,567,443,78.13,443,442,99.77,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538400
547042,Praha-Kunratice,1100,1,5417,3959,73.08,3954,3933,99.47,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547042
547051,Praha-Libuš,1100,1,6720,4631,68.91,4621,4601,99.57,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547051
539449,Praha-Lipence,1100,1,1664,1248,75.00,1247,1240,99.44,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=539449
539465,Praha-Lochkov,1100,1,473,344,72.73,344,342,99.42,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=539465
547140,Praha-Lysolaje,1100,1,837,643,76.82,643,634,98.60,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547140
547158,Praha-Nebušice,1100,1,1661,1216,73.21,1212,1209,99.75,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547158
538531,Praha-Nedvězí,1100,1,232,168,72.41,168,167,99.40,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=538531
547395,Praha-Petrovice,1100,1,4956,3263,65.84,3262,3247,99.54,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=1&xobec=547395
